#,"Anchor Text","Referring Domains Total","Referring Domains with Anchor (Percent %)","Referring Domains Dofollow (desc)","Referring Domains Dofollow with Anchor (Percent %)","Referring Pages Count","Referring Pages with Anchor (Percent %)","First Seen","Last Check"
104,/nashi-vrachi/sarattseva-elena-viktorovna/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
105,/nashi-vrachi/sharvadze-timur-kakhaevich/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
106,/nashi-vrachi/verdnikova/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
107,/new_rino/static_pages/images/all_clinics/left_1.jpg?v=95b99...,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
108,/new_rino/static_pages/images/all_clinics/left_10.jpg?v=8bf3...,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
109,/new_rino/static_pages/images/all_clinics/left_11.jpg?v=26b5...,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
110,/new_rino/static_pages/images/all_clinics/left_12.jpg?v=bf05...,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
111,/new_rino/static_pages/images/all_clinics/left_13.jpg?v=1938...,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
112,/new_rino/static_pages/images/all_clinics/left_14.jpg?v=03e1...,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
113,/new_rino/static_pages/images/all_clinics/left_15.jpg?v=446f...,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
114,/new_rino/static_pages/images/all_clinics/left_16.jpg?v=ef4d...,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
115,/new_rino/static_pages/images/all_clinics/left_17.jpg?v=ba1d...,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
116,/new_rino/static_pages/images/all_clinics/left_2.jpg?v=a90bf...,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
117,/new_rino/static_pages/images/all_clinics/left_3.jpg?v=838a4...,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
118,/new_rino/static_pages/images/all_clinics/left_4.jpg?v=e0e5b...,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
119,/new_rino/static_pages/images/all_clinics/left_5.jpg?v=9b372...,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
120,/new_rino/static_pages/images/all_clinics/left_6.jpg?v=996f3...,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
121,/new_rino/static_pages/images/all_clinics/left_8.jpg?v=1809e...,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
122,/new_rino/static_pages/images/all_clinics/left_9.jpg?v=a02ea...,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
123,/new_rino/static_pages/images/all_clinics/right_1.jpg?v=2523...,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
124,/new_rino/static_pages/images/all_clinics/right_2.jpg?v=1809...,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
125,/new_rino/static_pages/images/all_clinics/right_3.jpg?v=a02e...,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
126,/new_rino/static_pages/images/all_clinics/right_4.jpg?v=8bf3...,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
127,/new_rino/static_pages/images/all_clinics/right_5.jpg?v=26b5...,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
128,/new_rino/static_pages/images/all_clinics/right_6.jpg?v=bf05...,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
129,/new_rino/static_pages/images/all_clinics/right_7.jpg?v=65ea...,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
130,/plasticheskaya-operaciyz-kredit/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
131,/services/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
132,/services/abdominoplastika/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
133,/services/alumafaces/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
134,/services/bezoperatsionnaya-rinoplastika/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
135,/services/biorevitalizatsiya/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
136,/services/blefaroplastika/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
137,/services/breastup/,1,0.49,0,0,1,0,"2018-11-30 13:58:45","2019-10-30 12:31:39"
138,/services/bulkhorn/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
139,/services/category/apparatnaya-kosmetologiya/lazernaya-epily...,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
140,/services/category/laboratornaya-diagnostika/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
141,/services/category/podtyazhka-lica/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
142,/services/chistka-litsa/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-12-23 12:25:38"
143,/services/derma_birthmark/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
144,/services/derma_papiloma/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
145,/services/derma_wart/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
146,/services/fejslifting/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
147,/services/fillery/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
148,/services/fraxel/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
149,/services/genesis/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
150,/services/gluteoplastika/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-12-23 12:25:38"
151,/services/hypergid/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
152,/services/intimnaya-plastika/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
153,/services/jetpeel/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
154,/services/kontracepciya/,1,0.49,0,0,2,0.01,"2019-10-13 22:57:43","2019-10-30 12:31:39"
