#,"Anchor Text","Referring Domains Total","Referring Domains with Anchor (Percent %)","Referring Domains Dofollow (desc)","Referring Domains Dofollow with Anchor (Percent %)","Referring Pages Count","Referring Pages with Anchor (Percent %)","First Seen","Last Check"
151,http://sm-plastica.ru/services/plastika-vek-blefaroplastika/,1,1,0,0,32,0.31,"2017-03-20 13:38:31","2020-06-06 12:08:44"
152,http://sm-plastica.ru/services/plastika-vek-blefaroplastika/nizhnyaya-transkonyuktivalnaya-blefaroplastika.,1,1,0,0,3,0.03,"2017-08-09 06:47:17","2020-05-04 13:08:40"
153,https://sm-plastica.ru,2,2,0,0,4,0.04,"2019-12-30 14:47:06","2020-05-27 12:23:16"
154,https://sm-plastica.ru/,1,1,0,0,1,0.01,"2019-09-09 09:15:14","2019-09-09 09:15:14"
155,sm-plastica.ru/stock/plastika-grudi,2,2,0,0,3,0.03,"2019-05-26 16:42:26","2020-05-17 05:30:10"
156,sm-plastica.ru/stock/plastika-novie-tseni,1,1,0,0,1,0.01,"2019-09-16 13:46:52","2020-02-01 13:44:44"
157,"womenplasticweek.sm-plastica.ru womenplasticweek.sm-plastica.ru",1,1,0,0,2,0.02,"2020-03-23 05:52:39","2020-05-27 08:23:30"
158,"www.sm-plastica.ru www.sm-plastica.ru",1,1,0,0,2,0.02,"2020-05-26 20:52:27","2020-05-27 08:23:30"
159,блефаропластика,1,1,0,0,2,0.02,"2017-09-03 17:04:23","2020-01-04 06:27:11"
160,"гото sm-plastica.ru",1,1,0,0,1,0.01,"2016-11-15 18:22:42","2020-03-04 08:00:25"
161,"клиника пластической хирургии",1,1,0,0,1,0.01,"2017-08-12 23:18:39","2020-03-24 07:03:09"
162,"липосакция второго подбородка в ""см-пластика""",1,1,0,0,1,0.01,"2018-12-23 10:23:04","2020-02-16 08:33:13"
163,"лучший пластический хирург года работает в «см-пластика»",1,1,0,0,1,0.01,"2018-10-05 02:26:13","2019-08-14 08:28:23"
164,маммопластика,1,1,0,0,1,0.01,"2017-06-16 06:43:48","2019-12-19 14:06:38"
165,"операций любого уровня сложности,стационар, собственная база для реабилитации",1,1,0,0,289,3,"2018-11-30 10:51:03","2020-06-16 10:38:17"
166,"официальный сайт",1,1,0,0,3,0.03,"2019-04-28 19:28:14","2020-02-20 09:59:48"
167,"перейти на сайт доктора",1,1,0,0,1,0.01,"2019-06-02 00:40:51","2019-06-02 00:40:51"
168,"подтяжка бровей",1,1,0,0,1,0.01,"2016-06-12 19:52:16","2019-12-23 03:56:57"
169,"подтяжка лба",1,1,0,0,1,0.01,"2016-06-12 19:52:16","2019-12-23 03:56:57"
170,"посетить сайт",1,1,0,0,2,0.02,"2018-08-12 17:45:43","2020-02-23 18:21:13"
171,"редукционная маммопластика (уменьшение груди)",1,1,0,0,1,0.01,"2016-11-29 15:11:31","2020-01-28 18:01:29"
172,"см-пластика» — центр пластической хирургии",1,1,0,0,1,0.01,"2019-06-02 10:42:10","2019-06-02 10:42:10"
173,"текущая версия сайта",1,1,0,0,1,0.01,"2019-03-05 19:09:01","2020-02-08 23:41:00"
174,"устранение дефектов мягких тканей",1,1,0,0,1,0.01,"2016-06-08 08:45:48","2020-01-01 16:12:22"
175,фейслифтинг,1,1,0,0,1,0.01,"2016-06-12 19:52:16","2019-12-05 04:29:54"
176,"фейслифтинг в ""см-пластика",1,1,0,0,1,0.01,"2016-09-09 05:13:11","2019-12-18 16:17:56"
177,"центр пластической хирургии ""см-пластика""",1,1,0,0,1,0.01,"2017-02-24 18:52:51","2020-03-02 14:20:37"
