#,"Total Backlinks","Domain Rating","URL Rating (desc)","Referring Domains","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language,Traffic,Keywords,"Js rendered","Linked Domains"
38,1,93,14,1,https://yandex.ru/profile/1762430429,Яндекс,16,1,https://www.sm-plastica.ru/,,sm-plastica.ru,,Dofollow,,"2020-02-21 14:47:48","2020-02-21 14:47:48",,ru,2.2,1,,1
39,396,13,14,10,https://smclinic-sol.ru/,"«СМ-Клиника» — платный многопрофильный медицинский центр в Солнечногорске | Частная мед клиника - консультативно диагностический центр",57,20,https://www.sm-plastica.ru/,,"Пластическая хирургия",,Dofollow,,"2019-12-27 19:08:01","2020-06-16 06:47:31",,ru,48,16,,14
40,3,90,13,1,http://link.2gis.ru/1.2/8CA4E3C0/webapi/20190301/project32/70000001025348005/maps.ngs.ru/6wckld56p4G2311302I4GGGGkq8tfr44G6G7893H4H215J22ovvgA9782J128G3G739J4J1Jr7Afuv58341512657A7H1J52H8c?http://sm-plastica.ru,,0,3,http://sm-plastica.ru/,,перейти,.,"Dofollow, Content",,"2019-04-28 17:23:34","2020-02-10 11:45:13",,,0,0,,1
41,1,56,13,6,https://www.smclinic.ru/about/,"О холдинге «СМ-Клиника»",63,23,https://www.sm-plastica.ru/,"уникальные хирургические операции, работают терапевтический и хирургический стационары. Представлены направления","пластической хирургии",", косметологии и стоматологии . Работает служба скорой медицинской помощи","Dofollow, Content",,"2019-07-08 17:36:27","2020-06-14 07:55:42",,ru,3.6,6,,16
42,4,33,13,6,https://centr-hirurgii.ru/doctors/,"Хирурги: цены на платный прием врача-хирурга ǀ Лучшие врачи хирурги Москвы в центре СМ-Клиника",192,25,https://www.sm-plastica.ru/experts/nozhin-sergey-yurevich/,,"Ножин Сергей Юрьевич Ножин Сергей Юрьевич",,"Dofollow, Image",,"2020-02-08 05:40:55","2020-06-13 14:35:21",,ru,1.3,4,,13
43,4,33,13,6,https://centr-hirurgii.ru/doctors/,"Хирурги: цены на платный прием врача-хирурга ǀ Лучшие врачи хирурги Москвы в центре СМ-Клиника",192,25,https://www.sm-plastica.ru/experts/pakhilin-dmitriy-viktorovich/,,"Пахилин Дмитрий Викторович Пахилин Дмитрий Викторович",,"Dofollow, Image",,"2019-03-25 13:56:45","2020-06-13 14:35:21",,ru,1.3,4,,13
44,4,33,13,6,https://centr-hirurgii.ru/doctors/,"Хирурги: цены на платный прием врача-хирурга ǀ Лучшие врачи хирурги Москвы в центре СМ-Клиника",192,25,https://www.sm-plastica.ru/experts/shchepelin-mikhail-andreevich/,,"Щепелин Михаил Андреевич Щепелин Михаил Андреевич",,"Dofollow, Image",,"2019-03-10 02:26:00","2020-06-13 14:35:21",,ru,1.3,4,,13
45,4,33,13,6,https://centr-hirurgii.ru/doctors/,"Хирурги: цены на платный прием врача-хирурга ǀ Лучшие врачи хирурги Москвы в центре СМ-Клиника",192,25,https://www.sm-plastica.ru/experts/sizov-sergey-vladimirovich/,,"Сизов Сергей Владимирович Сизов Сергей Владимирович",,"Dofollow, Image",,"2019-10-03 11:14:27","2020-06-13 14:35:21",,ru,1.3,4,,13
46,2,70,12,0,https://profile.ru/main/novaya-vneshnost-novaya-zhizn-12944/,"Новая внешность — новая жизнь",58,24,http://sm-plastica.ru/experts/anastasiya-sergeevna-borisenko/,"и другие вопросы ответила врач пластический хирург, кандидат медицинских наук,","специалист Центра пластической хирургии «СМ-Косметология» Анастасия Сергеевна Борисенко",.,"Dofollow, Content",,"2019-05-02 07:09:48","2020-02-14 11:48:05",,ru,0,0,,16
47,1,83,12,0,https://yandex.com.tr/profile/1762430429,Yandex,20,1,https://www.sm-plastica.ru/,,sm-plastica.ru,,Dofollow,,"2020-02-17 00:25:12","2020-05-11 14:04:40",,tr,0,0,,1
