#,"Total Backlinks","Domain Rating","URL Rating (desc)","Referring Domains","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language,Traffic,Keywords,"Js rendered","Linked Domains"
188,4,27,7,0,http://estetmedicina.ru/estetika/akcii/lipofiling-grudi-besplatno/,"Липофилинг груди бесплатно! | Интернет-журнал Estetmedicina.ru",102,7,http://www.frauklinik.ru/,,"Клиника профессора Блохина ""Фрау Клиник""",,"Nofollow, Content",,"2020-06-05 23:39:47","2020-06-05 23:39:47",,ru,0,0,,5
189,4,27,7,0,http://estetmedicina.ru/estetika/obzory/frau-klinik-abdominoplastika-alternativa-korsetu/,"Frau Klinik: абдоминопластика - альтернатива корсету | Интернет-журнал Estetmedicina.ru",107,7,http://www.frauklinik.ru/,,"Современная пластическая хирургия","позволяет в кратчайшие сроки восстановить эстетические пропорции живота, применяя метод","Dofollow, Content",,"2019-12-27 15:33:23","2020-06-04 17:34:31",,ru,0,0,,5
190,4,27,7,0,https://estetmedicina.ru/estetika/glavnaya-tema/plasticheskaya-khirurgiya-stala-dostupnee-teper-v-kredit/,"Пластическая хирургия стала доступнее! Теперь в кредит! | Интернет-журнал Estetmedicina.ru",97,7,http://www.frauklinik.ru/,Сайт:,www.frauklinik.ru,,"Dofollow, Content",,"2018-12-04 00:36:46","2020-06-07 07:01:21",,ru,0,0,,5
191,2,29,7,0,http://doctorsforum.ru/viewtopic.php?f=318&t=7524,"Тумаков Глеб Игоревич. Фрау Клиника - Национальный медицинский форум",101,11,http://www.frauklinik.ru/,,http://frauklinik.ru/,,Nofollow,,"2020-06-11 05:37:02","2020-06-11 05:37:02",,ru,0,1,,5
192,12,3,7,2,http://ps-paper.ru/org/profile/199472?page=4&perpage=10,PS•paper.ru,132,5,http://www.frauklinik.ru/,,frauklinik.ru,,Nofollow,,"2020-06-06 02:20:17","2020-06-06 02:20:17",,ru,0,0,,2
193,15,26,7,0,https://www.mamcompany.ru/forum/forum12/topic23406/message626008/,"Красота груди",103,14,http://www.frauklinik.ru/,,"сайт клиники",,Nofollow,,"2019-04-03 14:56:59","2020-04-05 22:43:33",,ru,0,0,,10
194,2,26,7,0,http://www.iwoman.ru/Subjects-index-req-viewpage-pageid-7276.html,"Что такое контурная пластика и для чего она?",71,6,http://www.frauklinik.ru/,"(чтобы найти интересующую вас клинику, нужно ввести в поисковике ""","пластическая хирургия москва","""). Безусловно, операции круговой подтяжки лица позволяют быстро и эффективно","Dofollow, Content",,"2020-06-07 16:17:50","2020-06-07 16:17:50",,ru,0,0,,3
195,2,11,7,1,https://sportnoj.ru/kontaktnaya-informatsiya/,"Контактная информация",21,11,http://www.frauklinik.ru/,"1. Клиника пластической хирургии и косметологии","Frau Klinik",.,"Dofollow, Content",,"2018-07-17 18:54:54","2020-06-06 05:46:38",,,0,0,,7
196,2,24,7,0,http://www.mamashkam.ru/roditeli/krasota_zdorovie/obratnaja-storona-mammoplastiki.html,"Обратная сторона маммопластики",91,9,http://www.frauklinik.ru/,Современная,"пластическая хирургия","постоянно работает над уменьшением количества и степени выраженности побочных эффектов,","Dofollow, Content",,"2013-08-10 07:02:36","2020-05-30 20:31:09",,ru,0,0,,4
197,2,24,7,0,http://puzyaka.ru/articles/archives/6207,"Как сделать красивые скулы или что такое правильный make-up?|Пузяка.ру",32,4,http://www.frauklinik.ru/,"секретов мейкапа позволят вам добиться нужного эффекта, и тогда никакая","клиника пластической хирургии","вам не понадобится. А устранить незначительные неровности кожного покрова можно","Dofollow, Content",,"2015-03-28 13:25:47","2020-06-04 21:04:40",,,0,0,,2
198,1,23,7,0,https://kemerovo.a410.ru/allspecialists/clinics/klinika-plasticheskoj-khirurgii-frau-klinik.html,"Клиника пластической хирургии Frau Klinik - А410 - вся продукция Allergan в Кемерове",35,8,http://www.frauklinik.ru/,WEB-сайт:,www.frauklinik.ru,,Nofollow,,"2020-03-04 07:20:40","2020-03-21 12:37:12",,ru,0,0,,7
199,4,16,7,2,http://rinoplastika.su/org/profile/199472,"Фрау Клиник > 2 в рейтинге > отзывы",82,6,http://www.frauklinik.ru/,,frauklinik.ru,,Nofollow,,"2020-06-03 08:03:59","2020-06-03 08:03:59",,ru,0,0,,3
200,1,21,7,0,https://www.trkr.ru/plastic/frau-klinik.html,"Фрау Клиник - отзывы, услуги, адрес, телефон - TRKR.RU",33,7,http://www.frauklinik.ru/,"+7 (495) 688-92-83 +7 (495) 688-98-73",http://www.frauklinik.ru,,Dofollow,,"2019-04-02 05:14:39","2020-05-08 01:41:17",,ru,0,0,,6
201,1,22,7,0,https://sprosidoktora.ru/healthcare/view/7550/,"Клиника, Frau Klinik. в Россия, г. Москва - Медицинские учреждения",111,7,http://www.frauklinik.ru/,,http://www.frauklinik.ru/,,Nofollow,,"2015-01-25 07:18:59","2020-04-22 02:53:28",,ru,0,0,,4
202,4,20,7,0,http://vseostomatologii.ru/forum/posts/detail/1446/75799/all/20,"Форум / Пластическая хирургия / Хирурги / ЕГОРОВА Мария Владимировна",92,41,http://www.frauklinik.ru/,"по поводу цен можно на сайте Фрау клинике посмотреть",www.frauklinik.ru,,Dofollow,,"2020-03-12 01:32:03","2020-05-03 03:16:48",,ru,0,0,,6
203,7,20,7,0,http://vseostomatologii.ru/forum/posts/detail/1474/78367/,"Форум / Косметология / Специалисты / Отзывы о косметологах / Вищипанова Надежда Леонидовна",87,42,http://www.frauklinik.ru/,"пр.Мира. Если хотите, можете вот на сайте клинике посмотреть еще",www.frauklinik.ru,,Dofollow,,"2019-02-25 23:20:26","2020-06-13 09:55:20",,ru,0,0,,6
204,3,20,7,0,https://www.3vozrast.ru/article/beauty/u_zerkala/7840/,"Как предотвратить морщины на шее?",92,18,http://www.frauklinik.ru/,"отвисла и на лицо ярко выраженный птоз тканей, поможет только","клиника пластической хирургии",". Причем ни какая-нибудь, а та, которая хорошо себя зарекомендовала","Dofollow, Content",,"2019-01-11 07:31:28","2020-04-24 01:22:58",,ru,0,0,,12
205,1,23,7,0,https://tvcenter.ru/moda/o-tonkostyah-figury/,"О тонкостях фигуры",39,18,https://www.frauklinik.ru/,"Статья написана по материалам сайта",www.frauklinik.ru,.,"Dofollow, Content",,"2020-03-25 08:21:50","2020-06-10 01:21:31",,ru,0,0,,10
206,4,16,7,0,https://www.infomesto.com/Москва/Медицина_Здоровье_Красота/Услуги_гинеколога_page_10,"Услуги гинеколога в г. Москва - часы и режим работы",99,65,http://www.frauklinik.ru/,,"Посетить сайт",,Nofollow,,"2018-11-15 18:34:21","2020-04-16 14:27:55",,ru,0,0,,24
207,10,8,7,1,http://plastinform.ru/org/profile/199472?page=4&perpage=10,"Фрау Клиник > 5 в рейтинге > отзывы",168,6,http://www.frauklinik.ru/,,frauklinik.ru,,Nofollow,,"2020-06-07 05:56:21","2020-06-07 05:56:21",,ru,,,,3
